0;0
1;0
2;1
3;0
4;0
5;0
6;1
7;0
8;0
9;0
10;0
11;1
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;0
27;0
28;1
29;2
30;0
31;0
32;1
33;0
34;0
35;1
36;0
37;0
38;1
39;0
40;0
41;1
42;0
43;1
44;0
45;0
46;0
47;2
48;1
49;0
50;0
51;0
52;1
53;0
54;1
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;1
66;1
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;1
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;1
102;0
103;0
104;0
105;0
106;0
107;1
108;0
109;0
110;0
111;0
112;1
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;1
146;0
147;0
148;0
149;1
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;1
162;0
163;0
164;0
165;0
166;1
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;1
176;1
177;0
178;0
179;0
180;1
181;1
182;0
183;1
184;0
185;0
186;0
187;0
188;0
189;0
190;1
191;1
192;0
193;0
194;0
195;0
196;0
197;0
198;1
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;1
225;1
226;1
227;1
228;1
229;1
230;1
231;0
232;1
233;1
234;1
235;1
236;1
237;1
238;1
239;1
240;1
241;1
242;1
243;2
244;0
245;0
246;0
247;1
248;0
249;1
250;0
251;0
252;0
253;1
254;1
255;1
256;2
257;1
258;0
259;0
260;2
261;0
262;0
263;0
264;3
265;1
266;3
267;0
268;2
269;1
270;1
271;1
272;0
273;2
274;1
275;1
276;1
277;1
278;0
279;4
280;1
281;0
282;1
283;2
284;0
285;0
286;0
287;1
288;0
289;1
290;1
291;2
292;1
293;3
294;3
295;3
296;4
297;6
298;4
299;2
300;1
301;3
302;2
303;1
304;2
305;1
306;2
307;1
308;3
309;3
310;3
311;2
312;1
313;1
314;2
315;0
316;1
317;2
318;2
319;3
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;1
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;1
354;1
355;1
356;0
357;1
358;0
359;0
360;0
361;0
362;0
363;0
364;1
365;0
366;1
367;0
368;1
369;0
370;0
371;0
372;0
373;0
374;1
375;0
376;1
377;1
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;1
387;0
388;2
389;0
390;0
391;0
392;1
393;0
394;0
395;0
396;0
397;0
398;0
399;1
400;1
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;1
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;1
440;0
441;0
442;0
443;0
444;1
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;1
464;1
465;0
466;0
467;0
468;1
469;0
470;0
471;0
472;0
473;0
474;0
475;1
476;1
477;1
478;0
479;0
480;0
481;1
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;1
507;0
508;0
509;0
510;0
511;0
512;0
513;0
514;0
515;0
516;0
517;0
518;0
519;0
520;0
521;0
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;1
530;0
531;0
532;0
533;0
